; Stückliste=C:\Users\Malte\Documents\GitHub\ZyklenAutomatik\Target3001\Zyklenautomatik_PCB_Mega2560_Pins_shield_muck_b2.01.T3001
; Datum=05.Februar.2014  10:13
; Variante=AllVars
; Platine=<alle Bauteile>
; Autor=
;
Pos	Name	Wert	Gehäuse	
1	AL1	Tweeter	D12R7,62	
2	C1	100nF	0805	
3	C2	100nF	0805	
4	C3	100nF	0805	
5	C4	100nF	0805	
6	C5	100nF	0805	
7	C6	100nF	0805	
8	C9	47nF	0805	
9	C10	47nF	0805	
10	D1	HLMA-KL00	LED_3MM	
11	D2	HLMA-KL00	LED_3MM	
12	D3	HLMA-KL00	LED_3MM	
13	D4	HLMA-KL00	LED_3MM	
14	D5	KP-2012MBC	0805-D	
15	D6	KP-2012MBC	0805-D	
16	D7	KP-2012MBC	0805-D	
17	D8	KP-2012MBC	0805-D	
18	D9	KP-2012MBC	0805-D	
19	D10	KP-2012MBC	0805-D	
20	D_LED1	100	0805	
21	IC1	AM26LS32	DIL16	
22	IC2	AM26LS32	DIL16	
23	IC3	HCPL-2630	DIL8	
24	IC4	HCPL-2630	DIL8	
25	IC5	HCPL-2630	DIL8	
26	IC6	HCPL-2630	DIL8	
27	J1	5V || Ext.	Stiftleiste_1x02_G_2,54	
28	J2	5V || Ext.	Stiftleiste_1x02_G_2,54	
29	K1	Power	Stiftleiste_1x08_G_2,54	
30	K2	Analog IN1	Stiftleiste_1x08_G_2,54	
31	K3	Analog IN2	Stiftleiste_1x08_G_2,54	
32	K4	Communication	Stiftleiste_1x08_G_2,54	
33	K5	PWM1	Stiftleiste_1x08_G_2,54	
34	K6	PWM2	Stiftleiste_1x10_G_2,54	
35	K7	Digi1	Stiftleiste_1x18_G_2,54	
36	K8	Digi2	Stiftleiste_1x18_G_2,54	
37	K9	Display	Stiftleiste_1x20_G_2,54	
38	K10	B Motor	RJ45_GESCHIRMT_STEHEND	
39	K11	2A,A'/2B,B' + Switch	RJ45_GESCHIRMT_STEHEND	
40	K12	Encoder	Stiftleiste_2x03_G_2,54	
41	K13	KeyPad 4x4	WANNENSTECKER-10-ST	
42	K14	A,A'/B,B'/Z,Z'	RJ45_GESCHIRMT_STEHEND	
43	K15	A,B,Z, + Switch	RJ45_GESCHIRMT_STEHEND	
44	K16	A Motor	RJ45_GESCHIRMT_STEHEND	
45	K17	GND 	Stiftleiste_1x02_G_2,54	
46	Power D5	Power	LED_3MM	
47	R1	330	0805	
48	R2	10K	POTI_3266W	
49	R3	10K	0805	
50	R4	330	0805	
51	R5	330	0805	
52	R6	330	0805	
53	R7	10K	0805	
54	R8	330	0805	
55	R9	330	0805	
56	R10	330	0805	
57	R11	10K	0805	
58	R12	10K	0805	
59	R13	10K	0805	
60	R14	4,7K	0805	
61	R15	100K	0805	
62	R16	100K	0805	
63	R18	330	0805	
64	R19	10K	0805	
65	R20	330	0805	
66	R21	330	0805	
67	R22	330	0805	
68	R23	330	0805	
69	R24	10K	0805	
70	R25	330	0805	
71	R26	10K	0805	
72	R27	10K	0805	
73	R28	330	0805	
74	R29	330	0805	
75	R30	330	0805	
76	R31	330	0805	
77	R32	330	0805	
78	R33	330	0805	
79	R34	330	0805	
80	R35	330	0805	
81	R36	330	0805	
82	R37	330	0805	
83	R38	330	0805	
84	S1	DTSM-644R-B	TACT_DTSM-644	
85	S2	DTSM-644R-B	TACT_DTSM-644	
86	S3	DTSM-644R-B	TACT_DTSM-644	
87	S4	DTSM-644R-B	TACT_DTSM-644	
88	S5	DTSM-644R-B	TACT_DTSM-644	
89	S6	DTSM-644R-B	TACT_DTSM-644	
90	S7	DTSM-644R-B	TACT_DTSM-644	
91	S8	DTSM-644R-B	TACT_DTSM-644	
92	S9	DTSM-644R-B	TACT_DTSM-644	
93	S10	DTSM-644R-B	TACT_DTSM-644	
94	S11	EC11Exxx44xx	EC11EXXX44XX	
95	S12	DTSM-644R-B	TACT_DTSM-644	
96	T1	BC817	SOT23/3	
